Acronym,Expansion
ASD(R&E),Assistant Secretary of Defense for Research and Engineering
AT&L,"Acquisition, Technology, and Logistics"
BMP,Bitmap
CSCI,Computer Software Configuration Item
CSV,Comma-Separated Value
CoE,Center of Excellence
DOD,Department of Defense
DOJ,Department of Justice
EBTS,Electronic Biometrics Specification Transmission
EFS,Extended Feature Set
EOL,End of Line
FBI,Federal Bureau of Investigation
GB,Gigabyte
GUI,Graphical User Interface
LFFS,Latent Friction Ridge Features Search
MASI,ManTech Advanced Systems International
MB,Megabyte
MDT,Minutia Deviation Tool
MDTS,Minutia Deviation Tool (MDT) Session file
NIJ,National Institute of Justice
NIST,National Institute of Standards and Technology
NLECTC,National Law Enforcement and Corrections Technology Center
OSD,Office of the Secretary of Defense
Ppi,Pixels Per Inch
SDD,Software Design Description
SRS,Software Requirements Specification
SSBT,"Sensor, Surveillance, and Biometric Technologies"
